PetID,Pet Name,Species,Breed,Age,Gender,Symptoms,Disease,Treatment Date,Medicines
6,Samantha,Dog,Golden Retriever,5,Female,Loss of Appetite,Parvovirus,2023-03-06,Vitamins
6,Samantha,Dog,Golden Retriever,5,Female,Coughing,Parvovirus,2023-12-27,Pain Relievers
6,Samantha,Dog,Golden Retriever,5,Female,Diarrhea,Myxomatosis,2023-11-12,Antibiotics
6,Samantha,Dog,Golden Retriever,5,Female,Limping,Feline Leukemia,2023-10-28,Antibiotics
6,Samantha,Dog,Golden Retriever,5,Female,Limping,Myxomatosis,2022-03-19,Vitamins
7,Jocelyn,Bird,Canary,13,Female,Itching,Distemper,2021-02-01,Vitamins
7,Jocelyn,Bird,Canary,13,Female,Itching,Distemper,2020-08-22,Antibiotics
7,Jocelyn,Bird,Canary,13,Female,Diarrhea,Myxomatosis,2021-07-31,Anti-inflammatory
7,Jocelyn,Bird,Canary,13,Female,Itching,Wet Tail,2020-03-30,Vitamins
7,Jocelyn,Bird,Canary,13,Female,Limping,Parvovirus,2023-12-17,Vitamins
8,Christopher,Dog,German Shepherd,9,Female,Lethargy,Distemper,2021-09-18,Antibiotics
8,Christopher,Dog,German Shepherd,9,Female,Lethargy,Parvovirus,2021-10-24,Antibiotics
8,Christopher,Dog,German Shepherd,9,Female,Diarrhea,Myxomatosis,2020-05-07,Vitamins
8,Christopher,Dog,German Shepherd,9,Female,Limping,Myxomatosis,2023-03-01,Deworming Medication
8,Christopher,Dog,German Shepherd,9,Female,Limping,Myxomatosis,2021-02-07,Vitamins
8,Christopher,Dog,German Shepherd,9,Female,Vomiting,Rabies,2020-01-16,Anti-inflammatory
9,Brian,Dog,Bulldog,3,Male,Limping,Parvovirus,2023-04-26,Antibiotics
9,Brian,Dog,Bulldog,3,Male,Loss of Appetite,Parvovirus,2021-07-09,Pain Relievers
9,Brian,Dog,Bulldog,3,Male,Coughing,Feline Leukemia,2023-10-23,Deworming Medication
9,Brian,Dog,Bulldog,3,Male,Coughing,Feline Leukemia,2022-07-05,Deworming Medication
9,Brian,Dog,Bulldog,3,Male,Coughing,Myxomatosis,2022-07-19,Deworming Medication
9,Brian,Dog,Bulldog,3,Male,Lethargy,Rabies,2021-02-07,Antibiotics
9,Brian,Dog,Bulldog,3,Male,Coughing,Rabies,2024-05-02,Antibiotics
9,Brian,Dog,Bulldog,3,Male,Coughing,Rabies,2020-09-12,Pain Relievers
9,Brian,Dog,Bulldog,3,Male,Limping,Wet Tail,2021-06-12,Deworming Medication
10,Michael,Bird,Canary,15,Male,Lethargy,Wet Tail,2021-06-25,Anti-inflammatory
10,Michael,Bird,Canary,15,Male,Diarrhea,Psittacosis,2020-03-29,Vitamins
10,Michael,Bird,Canary,15,Male,Diarrhea,Rabies,2024-06-09,Pain Relievers
11,Anthony,Bird,Finch,2,Female,Lethargy,Myxomatosis,2020-12-22,Antibiotics
11,Anthony,Bird,Finch,2,Female,Itching,Feline Leukemia,2020-12-26,Vitamins
12,Lawrence,Bird,Finch,3,Male,Sneezing,Psittacosis,2021-12-26,Pain Relievers
12,Lawrence,Bird,Finch,3,Male,Coughing,Wet Tail,2023-04-23,Anti-inflammatory
12,Lawrence,Bird,Finch,3,Male,Sneezing,Feline Leukemia,2022-08-07,Anti-inflammatory
12,Lawrence,Bird,Finch,3,Male,Lethargy,Myxomatosis,2021-07-01,Antibiotics
12,Lawrence,Bird,Finch,3,Male,Itching,Feline Leukemia,2021-07-28,Anti-inflammatory
12,Lawrence,Bird,Finch,3,Male,Limping,Myxomatosis,2020-08-26,Deworming Medication
12,Lawrence,Bird,Finch,3,Male,Lethargy,Parvovirus,2023-05-24,Deworming Medication
13,Kathleen,Bird,Canary,3,Female,Sneezing,Distemper,2024-04-04,Vitamins
13,Kathleen,Bird,Canary,3,Female,Loss of Appetite,Parvovirus,2022-05-02,Anti-inflammatory
13,Kathleen,Bird,Canary,3,Female,Sneezing,Parvovirus,2021-07-14,Antibiotics
13,Kathleen,Bird,Canary,3,Female,Diarrhea,Myxomatosis,2024-06-28,Anti-inflammatory
13,Kathleen,Bird,Canary,3,Female,Lethargy,Wet Tail,2020-09-26,Antibiotics
13,Kathleen,Bird,Canary,3,Female,Vomiting,Feline Leukemia,2021-02-14,Deworming Medication
13,Kathleen,Bird,Canary,3,Female,Sneezing,Psittacosis,2022-11-08,Pain Relievers
14,Manuel,Bird,Cockatiel,2,Female,Lethargy,Parvovirus,2023-05-10,Vitamins
14,Manuel,Bird,Cockatiel,2,Female,Loss of Appetite,Rabies,2021-02-28,Pain Relievers
14,Manuel,Bird,Cockatiel,2,Female,Sneezing,Wet Tail,2022-11-12,Pain Relievers
14,Manuel,Bird,Cockatiel,2,Female,Sneezing,Myxomatosis,2022-08-24,Antibiotics
14,Manuel,Bird,Cockatiel,2,Female,Sneezing,Wet Tail,2020-05-13,Vitamins
14,Manuel,Bird,Cockatiel,2,Female,Vomiting,Psittacosis,2024-06-06,Pain Relievers
15,Jose,Dog,Bulldog,3,Male,Coughing,Wet Tail,2022-03-20,Pain Relievers
16,Jay,Rabbit,Holland Lop,7,Male,Limping,Parvovirus,2020-05-18,Deworming Medication
16,Jay,Rabbit,Holland Lop,7,Male,Loss of Appetite,Rabies,2021-06-12,Deworming Medication
17,Brooke,Rabbit,Mini Rex,2,Female,Loss of Appetite,Feline Leukemia,2021-12-18,Pain Relievers
17,Brooke,Rabbit,Mini Rex,2,Female,Limping,Feline Leukemia,2021-11-24,Deworming Medication
17,Brooke,Rabbit,Mini Rex,2,Female,Coughing,Psittacosis,2020-06-05,Deworming Medication
17,Brooke,Rabbit,Mini Rex,2,Female,Diarrhea,Feline Leukemia,2023-11-25,Vitamins
18,Eugene,Cat,Maine Coon,5,Female,Vomiting,Distemper,2021-03-20,Anti-inflammatory
18,Eugene,Cat,Maine Coon,5,Female,Coughing,Parvovirus,2023-06-09,Vitamins
18,Eugene,Cat,Maine Coon,5,Female,Lethargy,Distemper,2022-09-21,Antibiotics
18,Eugene,Cat,Maine Coon,5,Female,Itching,Parvovirus,2023-07-16,Antibiotics
18,Eugene,Cat,Maine Coon,5,Female,Lethargy,Wet Tail,2024-05-19,Pain Relievers
19,Maria,Hamster,Dwarf Winter White Russian,15,Male,Vomiting,Myxomatosis,2020-02-11,Anti-inflammatory
19,Maria,Hamster,Dwarf Winter White Russian,15,Male,Sneezing,Rabies,2023-04-01,Vitamins
19,Maria,Hamster,Dwarf Winter White Russian,15,Male,Diarrhea,Distemper,2022-04-04,Anti-inflammatory
20,Sarah,Hamster,Dwarf Winter White Russian,9,Male,Coughing,Myxomatosis,2021-12-07,Vitamins
20,Sarah,Hamster,Dwarf Winter White Russian,9,Male,Coughing,Parvovirus,2022-03-01,Pain Relievers
20,Sarah,Hamster,Dwarf Winter White Russian,9,Male,Vomiting,Rabies,2020-07-13,Anti-inflammatory
20,Sarah,Hamster,Dwarf Winter White Russian,9,Male,Coughing,Psittacosis,2020-07-08,Anti-inflammatory
21,Stanley,Cat,Persian,7,Male,Vomiting,Feline Leukemia,2020-02-21,Deworming Medication
21,Stanley,Cat,Persian,7,Male,Coughing,Wet Tail,2022-04-06,Vitamins
21,Stanley,Cat,Persian,7,Male,Limping,Wet Tail,2023-06-18,Deworming Medication
21,Stanley,Cat,Persian,7,Male,Sneezing,Rabies,2024-05-30,Antibiotics
21,Stanley,Cat,Persian,7,Male,Loss of Appetite,Myxomatosis,2023-01-16,Antibiotics
22,Jonathan,Hamster,Roborovski,14,Male,Loss of Appetite,Rabies,2023-01-12,Pain Relievers
22,Jonathan,Hamster,Roborovski,14,Male,Coughing,Psittacosis,2022-01-21,Pain Relievers
22,Jonathan,Hamster,Roborovski,14,Male,Coughing,Myxomatosis,2022-06-13,Antibiotics
23,Katherine,Dog,Beagle,13,Male,Coughing,Parvovirus,2022-04-01,Deworming Medication
23,Katherine,Dog,Beagle,13,Male,Itching,Psittacosis,2020-10-10,Anti-inflammatory
24,Jennifer,Hamster,Roborovski,4,Female,Sneezing,Distemper,2022-05-08,Antibiotics
25,Eddie,Rabbit,Netherland Dwarf,9,Male,Sneezing,Feline Leukemia,2022-02-12,Pain Relievers
25,Eddie,Rabbit,Netherland Dwarf,9,Male,Sneezing,Parvovirus,2020-03-25,Anti-inflammatory
25,Eddie,Rabbit,Netherland Dwarf,9,Male,Diarrhea,Feline Leukemia,2020-12-26,Vitamins
25,Eddie,Rabbit,Netherland Dwarf,9,Male,Loss of Appetite,Wet Tail,2020-05-12,Antibiotics
25,Eddie,Rabbit,Netherland Dwarf,9,Male,Lethargy,Myxomatosis,2022-08-28,Vitamins
26,Richard,Bird,Lovebird,9,Male,Vomiting,Myxomatosis,2021-01-15,Antibiotics
26,Richard,Bird,Lovebird,9,Male,Limping,Rabies,2023-07-01,Deworming Medication
26,Richard,Bird,Lovebird,9,Male,Limping,Feline Leukemia,2021-06-11,Vitamins
27,Rebecca,Bird,Finch,6,Female,Sneezing,Rabies,2021-09-21,Pain Relievers
27,Rebecca,Bird,Finch,6,Female,Limping,Psittacosis,2023-05-17,Vitamins
27,Rebecca,Bird,Finch,6,Female,Coughing,Parvovirus,2023-09-16,Anti-inflammatory
27,Rebecca,Bird,Finch,6,Female,Loss of Appetite,Distemper,2020-09-17,Anti-inflammatory
27,Rebecca,Bird,Finch,6,Female,Loss of Appetite,Wet Tail,2024-01-21,Antibiotics
27,Rebecca,Bird,Finch,6,Female,Diarrhea,Psittacosis,2024-01-12,Antibiotics
27,Rebecca,Bird,Finch,6,Female,Vomiting,Rabies,2021-06-21,Antibiotics
27,Rebecca,Bird,Finch,6,Female,Limping,Myxomatosis,2020-09-22,Vitamins
28,Jacob,Dog,Labrador Retriever,4,Male,Itching,Wet Tail,2020-12-15,Vitamins
28,Jacob,Dog,Labrador Retriever,4,Male,Limping,Rabies,2023-10-06,Deworming Medication
28,Jacob,Dog,Labrador Retriever,4,Male,Limping,Distemper,2020-12-01,Deworming Medication
28,Jacob,Dog,Labrador Retriever,4,Male,Limping,Parvovirus,2020-05-28,Pain Relievers
28,Jacob,Dog,Labrador Retriever,4,Male,Sneezing,Myxomatosis,2020-12-19,Pain Relievers
29,Daniel,Cat,Bengal,5,Female,Lethargy,Parvovirus,2023-04-14,Pain Relievers
29,Daniel,Cat,Bengal,5,Female,Lethargy,Parvovirus,2022-03-12,Deworming Medication
29,Daniel,Cat,Bengal,5,Female,Coughing,Parvovirus,2023-02-02,Pain Relievers
29,Daniel,Cat,Bengal,5,Female,Diarrhea,Distemper,2023-12-10,Pain Relievers
29,Daniel,Cat,Bengal,5,Female,Sneezing,Distemper,2024-02-07,Vitamins
29,Daniel,Cat,Bengal,5,Female,Vomiting,Parvovirus,2021-08-08,Vitamins
29,Daniel,Cat,Bengal,5,Female,Sneezing,Distemper,2022-06-11,Pain Relievers
30,Scott,Cat,Ragdoll,2,Male,Lethargy,Parvovirus,2022-08-14,Deworming Medication
30,Scott,Cat,Ragdoll,2,Male,Loss of Appetite,Rabies,2024-02-19,Deworming Medication
30,Scott,Cat,Ragdoll,2,Male,Loss of Appetite,Distemper,2022-11-28,Deworming Medication
30,Scott,Cat,Ragdoll,2,Male,Loss of Appetite,Myxomatosis,2022-05-10,Deworming Medication
30,Scott,Cat,Ragdoll,2,Male,Loss of Appetite,Wet Tail,2020-03-06,Deworming Medication
30,Scott,Cat,Ragdoll,2,Male,Itching,Psittacosis,2022-02-11,Vitamins
30,Scott,Cat,Ragdoll,2,Male,Vomiting,Myxomatosis,2024-01-26,Antibiotics
30,Scott,Cat,Ragdoll,2,Male,Lethargy,Wet Tail,2022-04-03,Pain Relievers
31,Rachel,Rabbit,Holland Lop,13,Female,Vomiting,Psittacosis,2024-02-25,Antibiotics
31,Rachel,Rabbit,Holland Lop,13,Female,Sneezing,Parvovirus,2023-06-17,Antibiotics
31,Rachel,Rabbit,Holland Lop,13,Female,Coughing,Feline Leukemia,2023-01-31,Vitamins
31,Rachel,Rabbit,Holland Lop,13,Female,Diarrhea,Rabies,2022-10-24,Pain Relievers
31,Rachel,Rabbit,Holland Lop,13,Female,Coughing,Psittacosis,2020-08-29,Deworming Medication
31,Rachel,Rabbit,Holland Lop,13,Female,Loss of Appetite,Rabies,2022-07-18,Pain Relievers
31,Rachel,Rabbit,Holland Lop,13,Female,Coughing,Wet Tail,2020-06-02,Antibiotics
31,Rachel,Rabbit,Holland Lop,13,Female,Lethargy,Distemper,2023-11-27,Pain Relievers
32,Shannon,Bird,Finch,7,Female,Sneezing,Rabies,2024-05-30,Deworming Medication
32,Shannon,Bird,Finch,7,Female,Limping,Rabies,2020-08-30,Antibiotics
33,Heather,Bird,Parakeet,4,Female,Loss of Appetite,Parvovirus,2023-09-14,Anti-inflammatory
33,Heather,Bird,Parakeet,4,Female,Itching,Rabies,2022-09-25,Antibiotics
33,Heather,Bird,Parakeet,4,Female,Lethargy,Rabies,2023-10-03,Anti-inflammatory
33,Heather,Bird,Parakeet,4,Female,Sneezing,Parvovirus,2020-01-29,Deworming Medication
33,Heather,Bird,Parakeet,4,Female,Diarrhea,Psittacosis,2021-01-12,Antibiotics
33,Heather,Bird,Parakeet,4,Female,Sneezing,Distemper,2023-01-03,Anti-inflammatory
33,Heather,Bird,Parakeet,4,Female,Vomiting,Psittacosis,2024-01-07,Vitamins
34,Kimberly,Dog,Beagle,7,Female,Diarrhea,Feline Leukemia,2021-04-06,Pain Relievers
34,Kimberly,Dog,Beagle,7,Female,Lethargy,Parvovirus,2024-06-05,Vitamins
34,Kimberly,Dog,Beagle,7,Female,Lethargy,Distemper,2023-02-18,Pain Relievers
34,Kimberly,Dog,Beagle,7,Female,Sneezing,Wet Tail,2023-01-13,Pain Relievers
34,Kimberly,Dog,Beagle,7,Female,Vomiting,Rabies,2022-12-07,Anti-inflammatory
34,Kimberly,Dog,Beagle,7,Female,Loss of Appetite,Parvovirus,2023-11-28,Vitamins
34,Kimberly,Dog,Beagle,7,Female,Lethargy,Myxomatosis,2023-12-11,Vitamins
34,Kimberly,Dog,Beagle,7,Female,Itching,Wet Tail,2022-03-24,Vitamins
35,Cynthia,Bird,Lovebird,10,Male,Diarrhea,Myxomatosis,2020-07-14,Anti-inflammatory
35,Cynthia,Bird,Lovebird,10,Male,Itching,Psittacosis,2023-08-31,Deworming Medication
35,Cynthia,Bird,Lovebird,10,Male,Lethargy,Distemper,2021-01-18,Pain Relievers
35,Cynthia,Bird,Lovebird,10,Male,Coughing,Distemper,2022-08-11,Antibiotics
35,Cynthia,Bird,Lovebird,10,Male,Coughing,Parvovirus,2021-06-26,Anti-inflammatory
36,Brian,Hamster,Dwarf Campbell Russian,10,Male,Sneezing,Wet Tail,2021-09-24,Pain Relievers
36,Brian,Hamster,Dwarf Campbell Russian,10,Male,Lethargy,Parvovirus,2021-02-08,Vitamins
36,Brian,Hamster,Dwarf Campbell Russian,10,Male,Sneezing,Distemper,2022-03-05,Pain Relievers
36,Brian,Hamster,Dwarf Campbell Russian,10,Male,Diarrhea,Distemper,2024-02-19,Anti-inflammatory
36,Brian,Hamster,Dwarf Campbell Russian,10,Male,Vomiting,Myxomatosis,2020-09-26,Deworming Medication
36,Brian,Hamster,Dwarf Campbell Russian,10,Male,Limping,Parvovirus,2023-03-18,Pain Relievers
37,Charles,Bird,Cockatiel,9,Female,Coughing,Myxomatosis,2020-05-21,Antibiotics
38,Tammy,Dog,Labrador Retriever,15,Male,Limping,Myxomatosis,2020-03-17,Pain Relievers
38,Tammy,Dog,Labrador Retriever,15,Male,Vomiting,Myxomatosis,2022-05-16,Deworming Medication
38,Tammy,Dog,Labrador Retriever,15,Male,Lethargy,Distemper,2021-09-30,Vitamins
38,Tammy,Dog,Labrador Retriever,15,Male,Diarrhea,Feline Leukemia,2024-01-03,Vitamins
38,Tammy,Dog,Labrador Retriever,15,Male,Lethargy,Rabies,2023-08-26,Antibiotics
38,Tammy,Dog,Labrador Retriever,15,Male,Limping,Psittacosis,2023-05-05,Antibiotics
39,Cheryl,Rabbit,Mini Rex,10,Male,Itching,Distemper,2023-10-21,Deworming Medication
39,Cheryl,Rabbit,Mini Rex,10,Male,Sneezing,Rabies,2021-05-21,Pain Relievers
39,Cheryl,Rabbit,Mini Rex,10,Male,Coughing,Parvovirus,2021-06-03,Deworming Medication
39,Cheryl,Rabbit,Mini Rex,10,Male,Lethargy,Parvovirus,2023-08-07,Vitamins
39,Cheryl,Rabbit,Mini Rex,10,Male,Loss of Appetite,Distemper,2020-06-17,Pain Relievers
39,Cheryl,Rabbit,Mini Rex,10,Male,Coughing,Wet Tail,2023-11-24,Vitamins
39,Cheryl,Rabbit,Mini Rex,10,Male,Lethargy,Psittacosis,2021-09-03,Anti-inflammatory
39,Cheryl,Rabbit,Mini Rex,10,Male,Vomiting,Myxomatosis,2020-10-03,Deworming Medication
40,Jason,Bird,Parakeet,10,Female,Coughing,Distemper,2023-10-28,Pain Relievers
40,Jason,Bird,Parakeet,10,Female,Vomiting,Distemper,2021-06-18,Antibiotics
40,Jason,Bird,Parakeet,10,Female,Diarrhea,Myxomatosis,2024-05-19,Anti-inflammatory
40,Jason,Bird,Parakeet,10,Female,Diarrhea,Wet Tail,2023-02-23,Pain Relievers
40,Jason,Bird,Parakeet,10,Female,Itching,Feline Leukemia,2020-08-14,Vitamins
40,Jason,Bird,Parakeet,10,Female,Itching,Myxomatosis,2020-06-09,Deworming Medication
40,Jason,Bird,Parakeet,10,Female,Lethargy,Psittacosis,2021-01-14,Pain Relievers
40,Jason,Bird,Parakeet,10,Female,Loss of Appetite,Feline Leukemia,2022-04-12,Deworming Medication
40,Jason,Bird,Parakeet,10,Female,Loss of Appetite,Myxomatosis,2023-07-19,Pain Relievers
41,Lawrence,Bird,Parakeet,11,Female,Lethargy,Myxomatosis,2021-07-28,Pain Relievers
41,Lawrence,Bird,Parakeet,11,Female,Limping,Myxomatosis,2023-02-22,Antibiotics
41,Lawrence,Bird,Parakeet,11,Female,Vomiting,Parvovirus,2020-12-24,Pain Relievers
41,Lawrence,Bird,Parakeet,11,Female,Sneezing,Psittacosis,2022-06-03,Vitamins
41,Lawrence,Bird,Parakeet,11,Female,Loss of Appetite,Wet Tail,2023-05-10,Vitamins
41,Lawrence,Bird,Parakeet,11,Female,Itching,Psittacosis,2024-05-22,Antibiotics
42,John,Dog,Golden Retriever,10,Male,Sneezing,Psittacosis,2021-02-11,Deworming Medication
42,John,Dog,Golden Retriever,10,Male,Limping,Parvovirus,2022-06-04,Anti-inflammatory
42,John,Dog,Golden Retriever,10,Male,Limping,Feline Leukemia,2020-12-10,Anti-inflammatory
42,John,Dog,Golden Retriever,10,Male,Coughing,Psittacosis,2022-04-28,Pain Relievers
42,John,Dog,Golden Retriever,10,Male,Diarrhea,Parvovirus,2020-02-15,Deworming Medication
42,John,Dog,Golden Retriever,10,Male,Diarrhea,Wet Tail,2021-12-06,Deworming Medication
43,Anna,Cat,Bengal,15,Female,Lethargy,Rabies,2022-01-19,Antibiotics
43,Anna,Cat,Bengal,15,Female,Limping,Psittacosis,2021-05-24,Anti-inflammatory
43,Anna,Cat,Bengal,15,Female,Diarrhea,Parvovirus,2023-02-28,Deworming Medication
43,Anna,Cat,Bengal,15,Female,Coughing,Psittacosis,2023-05-27,Deworming Medication
44,Stephanie,Dog,Beagle,5,Female,Vomiting,Myxomatosis,2023-07-20,Antibiotics
44,Stephanie,Dog,Beagle,5,Female,Lethargy,Rabies,2020-01-31,Pain Relievers
44,Stephanie,Dog,Beagle,5,Female,Coughing,Myxomatosis,2023-11-19,Anti-inflammatory
44,Stephanie,Dog,Beagle,5,Female,Itching,Psittacosis,2023-11-06,Deworming Medication
45,William,Rabbit,Mini Rex,6,Male,Limping,Parvovirus,2021-04-08,Deworming Medication
45,William,Rabbit,Mini Rex,6,Male,Loss of Appetite,Wet Tail,2024-01-27,Pain Relievers
45,William,Rabbit,Mini Rex,6,Male,Diarrhea,Rabies,2024-04-29,Anti-inflammatory
45,William,Rabbit,Mini Rex,6,Male,Loss of Appetite,Feline Leukemia,2020-12-16,Vitamins
45,William,Rabbit,Mini Rex,6,Male,Diarrhea,Myxomatosis,2023-07-17,Anti-inflammatory
45,William,Rabbit,Mini Rex,6,Male,Itching,Wet Tail,2020-01-20,Anti-inflammatory
45,William,Rabbit,Mini Rex,6,Male,Diarrhea,Myxomatosis,2022-12-13,Pain Relievers
45,William,Rabbit,Mini Rex,6,Male,Coughing,Psittacosis,2023-02-26,Pain Relievers
46,Jonathan,Hamster,Dwarf Winter White Russian,10,Male,Diarrhea,Myxomatosis,2020-03-25,Pain Relievers
47,Brandon,Hamster,Syrian,5,Male,Sneezing,Rabies,2022-10-06,Deworming Medication
47,Brandon,Hamster,Syrian,5,Male,Sneezing,Myxomatosis,2020-04-13,Anti-inflammatory
48,Gary,Dog,Labrador Retriever,15,Female,Itching,Feline Leukemia,2020-06-14,Vitamins
48,Gary,Dog,Labrador Retriever,15,Female,Coughing,Psittacosis,2021-12-21,Antibiotics
48,Gary,Dog,Labrador Retriever,15,Female,Coughing,Rabies,2023-09-23,Anti-inflammatory
48,Gary,Dog,Labrador Retriever,15,Female,Loss of Appetite,Wet Tail,2021-03-19,Anti-inflammatory
48,Gary,Dog,Labrador Retriever,15,Female,Itching,Distemper,2023-03-07,Pain Relievers
48,Gary,Dog,Labrador Retriever,15,Female,Itching,Parvovirus,2022-02-22,Vitamins
48,Gary,Dog,Labrador Retriever,15,Female,Limping,Feline Leukemia,2021-01-10,Pain Relievers
48,Gary,Dog,Labrador Retriever,15,Female,Vomiting,Distemper,2021-09-08,Anti-inflammatory
48,Gary,Dog,Labrador Retriever,15,Female,Diarrhea,Myxomatosis,2020-04-19,Anti-inflammatory
49,James,Hamster,Dwarf Campbell Russian,10,Female,Coughing,Rabies,2024-01-19,Deworming Medication
49,James,Hamster,Dwarf Campbell Russian,10,Female,Vomiting,Feline Leukemia,2024-06-02,Vitamins
49,James,Hamster,Dwarf Campbell Russian,10,Female,Sneezing,Distemper,2023-06-12,Vitamins
49,James,Hamster,Dwarf Campbell Russian,10,Female,Itching,Wet Tail,2022-02-07,Pain Relievers
49,James,Hamster,Dwarf Campbell Russian,10,Female,Limping,Feline Leukemia,2021-10-24,Deworming Medication
50,James,Cat,Maine Coon,10,Female,Coughing,Wet Tail,2022-10-03,Antibiotics
50,James,Cat,Maine Coon,10,Female,Diarrhea,Myxomatosis,2023-05-05,Antibiotics
50,James,Cat,Maine Coon,10,Female,Vomiting,Myxomatosis,2020-11-26,Deworming Medication
50,James,Cat,Maine Coon,10,Female,Vomiting,Myxomatosis,2022-06-25,Anti-inflammatory
50,James,Cat,Maine Coon,10,Female,Limping,Rabies,2020-03-18,Vitamins
50,James,Cat,Maine Coon,10,Female,Itching,Myxomatosis,2023-12-18,Antibiotics
50,James,Cat,Maine Coon,10,Female,Coughing,Wet Tail,2023-12-27,Antibiotics
50,James,Cat,Maine Coon,10,Female,Coughing,Feline Leukemia,2021-07-30,Vitamins
50,James,Cat,Maine Coon,10,Female,Limping,Parvovirus,2023-10-11,Antibiotics
51,Cynthia,Bird,Finch,6,Female,Coughing,Wet Tail,2021-10-31,Vitamins
51,Cynthia,Bird,Finch,6,Female,Loss of Appetite,Psittacosis,2022-04-28,Vitamins
52,Claudia,Dog,Beagle,5,Male,Sneezing,Distemper,2021-03-21,Vitamins
53,Sarah,Cat,Persian,11,Male,Itching,Feline Leukemia,2024-01-05,Pain Relievers
53,Sarah,Cat,Persian,11,Male,Itching,Psittacosis,2024-03-27,Anti-inflammatory
53,Sarah,Cat,Persian,11,Male,Diarrhea,Parvovirus,2022-01-17,Antibiotics
54,Joann,Dog,German Shepherd,15,Female,Itching,Feline Leukemia,2022-05-17,Anti-inflammatory
54,Joann,Dog,German Shepherd,15,Female,Loss of Appetite,Psittacosis,2023-10-13,Antibiotics
54,Joann,Dog,German Shepherd,15,Female,Vomiting,Wet Tail,2023-02-09,Antibiotics
54,Joann,Dog,German Shepherd,15,Female,Itching,Myxomatosis,2022-10-15,Vitamins
54,Joann,Dog,German Shepherd,15,Female,Itching,Myxomatosis,2020-09-18,Deworming Medication
54,Joann,Dog,German Shepherd,15,Female,Limping,Feline Leukemia,2022-06-13,Vitamins
54,Joann,Dog,German Shepherd,15,Female,Loss of Appetite,Parvovirus,2021-03-14,Deworming Medication
54,Joann,Dog,German Shepherd,15,Female,Sneezing,Rabies,2022-10-09,Deworming Medication
55,Michelle,Bird,Canary,8,Male,Lethargy,Distemper,2020-09-27,Vitamins
55,Michelle,Bird,Canary,8,Male,Vomiting,Psittacosis,2022-12-28,Antibiotics
55,Michelle,Bird,Canary,8,Male,Sneezing,Psittacosis,2022-09-14,Vitamins
55,Michelle,Bird,Canary,8,Male,Loss of Appetite,Parvovirus,2020-04-01,Deworming Medication
55,Michelle,Bird,Canary,8,Male,Limping,Wet Tail,2021-02-25,Antibiotics
55,Michelle,Bird,Canary,8,Male,Lethargy,Wet Tail,2020-10-21,Anti-inflammatory
55,Michelle,Bird,Canary,8,Male,Loss of Appetite,Rabies,2020-09-07,Antibiotics
