id,company_id,disease,medicine,age,breed,pet_code,gender,pet_name,species,symptoms,treatment_date
77,1,Psittacosis,Pain Relievers,2,Persian Cross,HS2017,MALE,Dogy,Dog ,Loss of Appetite,2020-08-26
78,1,Feline Leukemia,Anti-inflammatory,7,bbb,HS2077,FEMALE,tiki,Cat,Diarrhea,2022-11-17
79,43,Distemper,Vitamins,1,Breed1,CT202010,MALE,Wolf baby,Wolf,Diarrhea,2024-06-22
80,43,Myxomatosis,Deworming Medication,30,Breed3,CT202026,FEMALE,Roki,DOG,Limping,2023-07-04
81,43,Rabies,Vitamins,33,Breed3,CT202025,MALE,Seeba,DOG,Limping,2022-08-10
82,1,Parvovirus,Anti-inflammatory,0,Bbb,HS2032,MALE,winter,Dog ,Lethargy,2021-06-23
83,43,Feline Leukemia,Vitamins,4,Breed1,CT202020,MALE,hiro,Wolf,Limping,2022-09-02
84,38,Rabies,Antibiotics,16,Bulldog,PT2002,MALE,Luna,Dog,Diarrhea,2021-08-06
85,43,Parvovirus,Deworming Medication,2,breed 1,CT202004,FEMALE,tainy,DOG,Loss of Appetite,2023-12-08
86,1,Wet Tail,Vitamins,2,Bbb,HS2076,FEMALE,tina,Dog ,Limping,2024-03-16
87,43,Psittacosis,Anti-inflammatory,4,Breed1,CT202020,MALE,hiro,Wolf,Sneezing,2023-05-20
88,43,Myxomatosis,Vitamins,1,Breed5,CT202011,FEMALE,baby,CAT,Vomiting,2021-12-02
89,43,Wet Tail,Pain Relievers,33,Breed3,CT202025,MALE,Seeba,DOG,Loss of Appetite,2022-11-09
90,38,Wet Tail,Pain Relievers,1,Beagle,PT2003,FEMALE,Leo,Dog,Limping,2022-12-31
91,1,Parvovirus,Antibiotics,0,Bbb,HS2032,MALE,winter,Dog ,Sneezing,2022-03-25
92,43,Distemper,Anti-inflammatory,1,Breed5,CT202014,MALE,saman,CAT,Diarrhea,2020-12-23
93,1,Parvovirus,Pain Relievers,2,Persian Cross,HS2018,MALE,baby,Dog ,Diarrhea,2022-07-11
94,43,Feline Leukemia,Pain Relievers,0,Breed5,CT202012,FEMALE,Test 1,CAT,Lethargy,2023-06-04
95,43,Rabies,Deworming Medication,2,breed 1,CT202004,FEMALE,tainy,DOG,Limping,2022-07-19
96,43,Distemper,Deworming Medication,2,breed 1,CT202004,FEMALE,tainy,DOG,Limping,2020-01-31
97,38,Wet Tail,Pain Relievers,16,Bulldog,PT2002,MALE,Luna,Dog,Vomiting,2023-12-17
98,1,Wet Tail,Vitamins,21,Persian Cross,HS2108,MALE,Cooper,Dog ,Limping,2021-05-07
99,43,Rabies,Pain Relievers,2,breed 1,CT202004,FEMALE,tainy,DOG,Coughing,2020-02-18
100,1,Rabies,Pain Relievers,1,Bbb,HS2005,FEMALE,summer,Dog ,Coughing,2021-11-24
101,43,Distemper,Pain Relievers,3,breed 1,CT202002,MALE,tomy,DOG,Loss of Appetite,2023-06-01
102,43,Distemper,Vitamins,2,Breed3,CT202015,MALE,roki,DOG,Diarrhea,2020-12-17
103,43,Rabies,Deworming Medication,1,Breed1,CT202010,MALE,Wolf baby,Wolf,Lethargy,2021-05-25
104,1,Psittacosis,Deworming Medication,2,Persian Cross,HS2017,MALE,Dogy,Dog ,Diarrhea,2021-10-24
105,1,Feline Leukemia,Anti-inflammatory,2,Persian Cross,HS2017,MALE,Dogy,Dog ,Vomiting,2022-05-31
106,1,Psittacosis,Pain Relievers,2,Persian Cross,HS2018,MALE,baby,Dog ,Itching,2023-12-13
107,43,Feline Leukemia,Deworming Medication,1,Breed1,CT202010,MALE,Wolf baby,Wolf,Loss of Appetite,2021-08-13
108,43,Parvovirus,Antibiotics,2,Breed3,CT202015,MALE,roki,DOG,Sneezing,2020-05-01
109,1,Parvovirus,Antibiotics,1,Bbb,HS2072,MALE,summer,Dog ,Coughing,2021-04-11
110,38,Myxomatosis,Antibiotics,4,Bulldog,PT2008,MALE,viki,Dog,Coughing,2021-10-23
111,43,Feline Leukemia,Pain Relievers,1,Breed2,CT202016,MALE,chooti,CAT,Loss of Appetite,2021-12-18
112,43,Myxomatosis,Pain Relievers,3,breed 1,CT202002,MALE,tomy,DOG,Sneezing,2024-04-25
113,43,Parvovirus,Vitamins,1,Breed5,CT202014,MALE,saman,CAT,Sneezing,2022-07-19
114,43,Feline Leukemia,Deworming Medication,33,Breed3,CT202025,MALE,Seeba,DOG,Lethargy,2020-06-25
115,43,Feline Leukemia,Deworming Medication,1,Breed5,CT202011,FEMALE,baby,CAT,Coughing,2023-02-10
116,43,Rabies,Anti-inflammatory,2,Breed3,CT202015,MALE,roki,DOG,Coughing,2021-01-05
117,38,Distemper,Pain Relievers,1,Beagle,PT2003,FEMALE,Leo,Dog,Diarrhea,2022-12-26
118,43,Psittacosis,Deworming Medication,1,Breed2,CT202016,MALE,chooti,CAT,Diarrhea,2022-01-16
119,43,Rabies,Pain Relievers,1,Breed2,CT202007,MALE,Chuti kity,CAT,Limping,2023-10-31
120,1,Parvovirus,Vitamins,17,Persian Cross,HS2015,MALE,bady,Dog ,Loss of Appetite,2022-03-15
121,43,Distemper,Antibiotics,1,Breed5,CT202011,FEMALE,baby,CAT,Limping,2020-07-09
122,1,Rabies,Pain Relievers,1,Bbb,HS2005,FEMALE,summer,Dog ,Limping,2021-07-27
123,43,Parvovirus,Pain Relievers,1,Breed5,CT202014,MALE,saman,CAT,Itching,2024-06-25
124,43,Myxomatosis,Pain Relievers,1,Breed5,CT202014,MALE,saman,CAT,Vomiting,2023-06-24
125,1,Distemper,Pain Relievers,1,Bbb,HS2005,FEMALE,summer,Dog ,Diarrhea,2022-07-08
126,38,Parvovirus,Vitamins,4,Bulldog,PT2008,MALE,viki,Dog,Limping,2020-09-12
127,43,Feline Leukemia,Anti-inflammatory,1,Breed2,CT202016,MALE,chooti,CAT,Lethargy,2024-01-31
128,38,Wet Tail,Pain Relievers,4,Bulldog,PT2008,MALE,viki,Dog,Loss of Appetite,2023-07-07
129,38,Wet Tail,Deworming Medication,1,Beagle,PT2003,FEMALE,Leo,Dog,Itching,2024-06-15
130,1,Wet Tail,Antibiotics,2,Persian Cross,HS2017,MALE,Dogy,Dog ,Vomiting,2024-03-01
131,1,Psittacosis,Vitamins,2,Persian Cross,HS2017,MALE,Dogy,Dog ,Lethargy,2023-05-22
132,43,Distemper,Anti-inflammatory,1,Breed1,CT202010,MALE,Wolf baby,Wolf,Loss of Appetite,2020-08-31
133,43,Psittacosis,Antibiotics,1,breed 1,CT202005,MALE,tobi,DOG,Loss of Appetite,2024-01-13
134,38,Feline Leukemia,Antibiotics,1,Beagle,PT2003,FEMALE,Leo,Dog,Limping,2022-01-29
135,43,Distemper,Antibiotics,0,Breed5,CT202012,FEMALE,Test 1,CAT,Vomiting,2024-04-12
136,1,Wet Tail,Pain Relievers,21,Persian Cross,HS2108,MALE,Cooper,Dog ,Diarrhea,2023-07-14
137,1,Rabies,Deworming Medication,2,Persian Cross,HS2018,MALE,baby,Dog ,Itching,2021-01-07
138,38,Psittacosis,Antibiotics,1,Beagle,PT2003,FEMALE,Leo,Dog,Coughing,2021-09-09
139,1,Distemper,Deworming Medication,2,Persian Cross,HS2017,MALE,Dogy,Dog ,Lethargy,2021-08-30
140,38,Wet Tail,Anti-inflammatory,5,American,PT2009,MALE,tomy,Rabbit,Vomiting,2023-04-04
141,1,Rabies,Anti-inflammatory,2,Persian Cross,HS2017,MALE,Dogy,Dog ,Vomiting,2022-08-22
142,38,Parvovirus,Anti-inflammatory,1,Beagle,PT2003,FEMALE,Leo,Dog,Limping,2022-02-14
143,38,Rabies,Anti-inflammatory,4,Bulldog,PT2008,MALE,viki,Dog,Coughing,2021-02-24
144,1,Wet Tail,Antibiotics,3,Persian Cross,HS2028,MALE,viki,Dog ,Diarrhea,2021-11-03
145,1,Psittacosis,Anti-inflammatory,7,bbb,HS2077,FEMALE,tiki,Cat,Limping,2021-07-28
146,1,Distemper,Pain Relievers,7,bbb,HS2077,FEMALE,tiki,Cat,Diarrhea,2021-10-01
147,43,Distemper,Vitamins,2,Breed3,CT202015,MALE,roki,DOG,Itching,2024-05-16
148,38,Parvovirus,Pain Relievers,1,Beagle,PT2003,FEMALE,Leo,Dog,Limping,2024-01-21
149,43,Parvovirus,Antibiotics,0,Breed5,CT202012,FEMALE,Test 1,CAT,Lethargy,2021-05-28
150,43,Distemper,Vitamins,6,Breed2,CT202003,FEMALE,tedi,CAT,Diarrhea,2023-05-05
151,1,Wet Tail,Vitamins,1,Bbb,HS2005,FEMALE,summer,Dog ,Lethargy,2024-03-28
152,43,Parvovirus,Vitamins,6,Breed2,CT202003,FEMALE,tedi,CAT,Lethargy,2023-01-02
153,43,Psittacosis,Vitamins,4,Breed1,CT202020,MALE,hiro,Wolf,Diarrhea,2022-10-20
154,43,Psittacosis,Anti-inflammatory,1,Breed2,CT202016,MALE,chooti,CAT,Vomiting,2022-02-06
155,1,Distemper,Pain Relievers,2,Bbb,HS2076,FEMALE,tina,Dog ,Coughing,2024-04-28
156,1,Distemper,Vitamins,7,bbb,HS2077,FEMALE,tiki,Cat,Vomiting,2022-11-05
157,43,Rabies,Vitamins,1,Breed5,CT202011,FEMALE,baby,CAT,Lethargy,2023-04-02
158,1,Feline Leukemia,Antibiotics,1,Bbb,HS2072,MALE,summer,Dog ,Lethargy,2023-05-04
159,43,Psittacosis,Pain Relievers,1,Breed2,CT202007,MALE,Chuti kity,CAT,Vomiting,2020-04-03
160,38,Feline Leukemia,Pain Relievers,1,Beagle,PT2003,FEMALE,Leo,Dog,Vomiting,2020-01-15
161,43,Myxomatosis,Vitamins,33,Breed3,CT202025,MALE,Seeba,DOG,Lethargy,2023-01-02
162,38,Distemper,Deworming Medication,1,Beagle,PT2003,FEMALE,Leo,Dog,Limping,2023-06-04
163,43,Psittacosis,Deworming Medication,1,breed 1,CT202005,MALE,tobi,DOG,Diarrhea,2022-05-18
164,43,Myxomatosis,Vitamins,1,Breed2,CT202016,MALE,chooti,CAT,Coughing,2022-10-15
165,43,Myxomatosis,Pain Relievers,4,Breed1,CT202020,MALE,hiro,Wolf,Sneezing,2021-03-23
166,43,Myxomatosis,Deworming Medication,3,breed 1,CT202002,MALE,tomy,DOG,Itching,2022-12-27
167,43,Parvovirus,Deworming Medication,1,Breed5,CT202014,MALE,saman,CAT,Coughing,2022-04-01
168,1,Rabies,Pain Relievers,7,bbb,HS2077,FEMALE,tiki,Cat,Sneezing,2021-09-21
169,43,Wet Tail,Deworming Medication,6,Breed2,CT202003,FEMALE,tedi,CAT,Loss of Appetite,2020-06-20
170,1,Feline Leukemia,Pain Relievers,2,Bbb,HS2076,FEMALE,tina,Dog ,Loss of Appetite,2023-03-15
171,1,Parvovirus,Anti-inflammatory,1,Persian Cross,HS2081,MALE,Test 1,Dog ,Limping,2021-11-08
172,43,Rabies,Vitamins,1,Breed1,CT202010,MALE,Wolf baby,Wolf,Loss of Appetite,2023-03-01
173,43,Distemper,Vitamins,1,breed 1,CT202005,MALE,tobi,DOG,Limping,2022-09-17
174,43,Myxomatosis,Antibiotics,3,breed 1,CT202002,MALE,tomy,DOG,Sneezing,2024-01-16
175,43,Myxomatosis,Antibiotics,33,Breed3,CT202025,MALE,Seeba,DOG,Sneezing,2024-04-13
176,43,Distemper,Vitamins,2,breed 1,CT202004,FEMALE,tainy,DOG,Itching,2021-07-05
177,1,Feline Leukemia,Deworming Medication,2,Persian Cross,HS2018,MALE,baby,Dog ,Sneezing,2021-03-03
178,43,Rabies,Anti-inflammatory,3,breed 1,CT202002,MALE,tomy,DOG,Limping,2022-02-03
179,43,Psittacosis,Deworming Medication,30,Breed3,CT202026,FEMALE,Roki,DOG,Itching,2022-03-26
180,43,Psittacosis,Vitamins,2,breed 1,CT202004,FEMALE,tainy,DOG,Vomiting,2020-01-02
181,43,Psittacosis,Anti-inflammatory,1,Breed5,CT202014,MALE,saman,CAT,Limping,2024-05-14
182,1,Rabies,Antibiotics,21,Persian Cross,HS2108,MALE,Cooper,Dog ,Limping,2023-12-06
183,1,Rabies,Deworming Medication,7,bbb,HS2077,FEMALE,tiki,Cat,Limping,2023-08-27
184,43,Rabies,Anti-inflammatory,1,Breed5,CT202011,FEMALE,baby,CAT,Loss of Appetite,2021-11-19
185,43,Distemper,Antibiotics,1,Breed1,CT202010,MALE,Wolf baby,Wolf,Limping,2020-05-14
186,43,Feline Leukemia,Vitamins,3,breed 1,CT202002,MALE,tomy,DOG,Itching,2021-02-12
187,43,Rabies,Pain Relievers,3,breed 1,CT202002,MALE,tomy,DOG,Vomiting,2022-06-03
188,38,Feline Leukemia,Antibiotics,1,Beagle,PT2003,FEMALE,Leo,Dog,Sneezing,2022-03-31
189,43,Rabies,Vitamins,1,Breed1,CT202010,MALE,Wolf baby,Wolf,Vomiting,2022-01-11
190,43,Parvovirus,Antibiotics,30,Breed3,CT202026,FEMALE,Roki,DOG,Diarrhea,2020-02-05
191,38,Distemper,Deworming Medication,1,Beagle,PT2003,FEMALE,Leo,Dog,Loss of Appetite,2021-01-10
192,43,Distemper,Deworming Medication,1,Breed2,CT202016,MALE,chooti,CAT,Coughing,2021-10-24
193,1,Parvovirus,Vitamins,2,Persian Cross,HS2017,MALE,Dogy,Dog ,Lethargy,2020-01-23
194,1,Distemper,Antibiotics,17,Persian Cross,HS2015,MALE,bady,Dog ,Diarrhea,2021-09-16
195,43,Distemper,Pain Relievers,6,Breed2,CT202003,FEMALE,tedi,CAT,Itching,2023-05-11
196,38,Rabies,Antibiotics,1,Beagle,PT2003,FEMALE,Leo,Dog,Itching,2021-03-30
197,1,Parvovirus,Deworming Medication,2,Persian Cross,HS2018,MALE,baby,Dog ,Itching,2023-09-05
198,1,Distemper,Antibiotics,2,Persian Cross,HS2017,MALE,Dogy,Dog ,Lethargy,2023-04-10
199,43,Feline Leukemia,Anti-inflammatory,4,Breed1,CT202020,MALE,hiro,Wolf,Limping,2022-11-04
200,43,Rabies,Pain Relievers,1,Breed2,CT202016,MALE,chooti,CAT,Sneezing,2023-05-01
201,43,Wet Tail,Deworming Medication,1,Breed2,CT202007,MALE,Chuti kity,CAT,Loss of Appetite,2020-04-22
202,38,Rabies,Anti-inflammatory,5,American,PT2009,MALE,tomy,Rabbit,Loss of Appetite,2021-06-14
203,43,Rabies,Anti-inflammatory,30,Breed3,CT202026,FEMALE,Roki,DOG,Itching,2022-03-17
204,1,Parvovirus,Vitamins,21,Persian Cross,HS2108,MALE,Cooper,Dog ,Lethargy,2023-06-12
205,1,Rabies,Anti-inflammatory,2,Persian Cross,HS2018,MALE,baby,Dog ,Coughing,2024-04-02
206,1,Wet Tail,Antibiotics,1,Bbb,HS2005,FEMALE,summer,Dog ,Coughing,2021-01-22
207,43,Myxomatosis,Deworming Medication,1,Breed5,CT202011,FEMALE,baby,CAT,Diarrhea,2020-07-05
208,38,Parvovirus,Antibiotics,16,Bulldog,PT2002,MALE,Luna,Dog,Coughing,2020-11-06
209,38,Myxomatosis,Deworming Medication,4,Bulldog,PT2008,MALE,viki,Dog,Vomiting,2022-06-29
210,1,Rabies,Anti-inflammatory,2,Persian Cross,HS2018,MALE,baby,Dog ,Diarrhea,2023-12-07
211,43,Wet Tail,Vitamins,3,breed 1,CT202002,MALE,tomy,DOG,Lethargy,2022-12-03
212,1,Wet Tail,Antibiotics,0,Bbb,HS2032,MALE,winter,Dog ,Itching,2020-04-15
213,43,Rabies,Pain Relievers,1,Breed2,CT202016,MALE,chooti,CAT,Limping,2022-03-15
214,1,Distemper,Anti-inflammatory,21,Persian Cross,HS2108,MALE,Cooper,Dog ,Coughing,2021-12-15
215,1,Myxomatosis,Antibiotics,21,Persian Cross,HS2108,MALE,Cooper,Dog ,Coughing,2022-05-24
216,38,Psittacosis,Anti-inflammatory,16,Bulldog,PT2002,MALE,Luna,Dog,Lethargy,2020-09-05
217,43,Distemper,Deworming Medication,33,Breed3,CT202025,MALE,Seeba,DOG,Limping,2023-10-30
218,43,Feline Leukemia,Deworming Medication,1,Breed2,CT202016,MALE,chooti,CAT,Itching,2024-07-10
219,43,Myxomatosis,Antibiotics,1,Breed2,CT202016,MALE,chooti,CAT,Sneezing,2024-04-19
220,1,Feline Leukemia,Vitamins,7,bbb,HS2077,FEMALE,tiki,Cat,Loss of Appetite,2023-02-09
221,1,Myxomatosis,Anti-inflammatory,2,Persian Cross,HS2018,MALE,baby,Dog ,Coughing,2022-03-11
222,1,Parvovirus,Antibiotics,17,Persian Cross,HS2015,MALE,bady,Dog ,Lethargy,2021-09-24
223,1,Distemper,Vitamins,1,Bbb,HS2005,FEMALE,summer,Dog ,Coughing,2020-09-19
224,1,Parvovirus,Antibiotics,7,bbb,HS2077,FEMALE,tiki,Cat,Limping,2023-02-09
225,1,Rabies,Antibiotics,3,Persian Cross,HS2028,MALE,viki,Dog ,Loss of Appetite,2021-11-20
226,38,Parvovirus,Anti-inflammatory,5,American,PT2009,MALE,tomy,Rabbit,Lethargy,2022-06-23
227,1,Psittacosis,Anti-inflammatory,2,Persian Cross,HS2017,MALE,Dogy,Dog ,Coughing,2021-05-14
228,1,Feline Leukemia,Anti-inflammatory,1,Bbb,HS2072,MALE,summer,Dog ,Itching,2024-01-19
229,43,Wet Tail,Vitamins,2,breed 1,CT202004,FEMALE,tainy,DOG,Coughing,2021-10-31
230,43,Rabies,Vitamins,1,Breed5,CT202011,FEMALE,baby,CAT,Sneezing,2020-06-13
231,43,Wet Tail,Antibiotics,1,Breed2,CT202016,MALE,chooti,CAT,Sneezing,2020-12-04
232,1,Distemper,Deworming Medication,2,Bbb,HS2076,FEMALE,tina,Dog ,Itching,2021-05-19
233,1,Distemper,Pain Relievers,17,Persian Cross,HS2015,MALE,bady,Dog ,Lethargy,2023-06-25
234,43,Psittacosis,Anti-inflammatory,33,Breed3,CT202025,MALE,Seeba,DOG,Itching,2020-11-20
235,38,Wet Tail,Pain Relievers,16,Bulldog,PT2002,MALE,Luna,Dog,Itching,2021-12-11
236,1,Feline Leukemia,Vitamins,1,Persian Cross,HS2081,MALE,Test 1,Dog ,Coughing,2022-12-12
237,1,Psittacosis,Anti-inflammatory,1,Bbb,HS2072,MALE,summer,Dog ,Sneezing,2021-02-23
238,43,Distemper,Pain Relievers,1,Breed1,CT202010,MALE,Wolf baby,Wolf,Coughing,2023-09-11
239,1,Parvovirus,Anti-inflammatory,1,Bbb,HS2072,MALE,summer,Dog ,Itching,2020-02-25
240,1,Myxomatosis,Anti-inflammatory,6,Bbb,HS2022,MALE,Chuti kity,Dog ,Limping,2021-02-01
241,43,Myxomatosis,Antibiotics,2,Breed3,CT202015,MALE,roki,DOG,Vomiting,2022-08-06
242,43,Distemper,Deworming Medication,1,Breed5,CT202014,MALE,saman,CAT,Sneezing,2023-12-13
243,1,Feline Leukemia,Deworming Medication,2,Persian Cross,HS2018,MALE,baby,Dog ,Vomiting,2021-11-15
244,1,Distemper,Pain Relievers,2,Persian Cross,HS2017,MALE,Dogy,Dog ,Sneezing,2021-09-01
